,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antisemitismus,0.0,1.0,1.0,2.0,2.0,0.0,1.0,4.0,1.0,5.0,2.0,1.0,5.0,6.0,6.0,7.0,16.0,26.0,18.0,15.0,39.0,26.0,8.0,14.0,5.0,0
Behindertenfeindlichkeit,2.0,1.0,15.0,2.0,12.0,3.0,5.0,3.0,12.0,8.0,17.0,22.0,13.0,28.0,18.0,43.0,53.0,53.0,40.0,41.0,26.0,34.0,15.0,21.0,7.0,0
Frauenfeindlichkeit,17.0,18.0,140.0,88.0,59.0,219.0,58.0,237.0,90.0,178.0,73.0,165.0,225.0,253.0,250.0,407.0,540.0,708.0,819.0,858.0,868.0,906.0,720.0,457.0,214.0,0
Gewalt,18.0,25.0,75.0,53.0,38.0,71.0,52.0,153.0,108.0,205.0,101.0,223.0,199.0,304.0,260.0,426.0,579.0,809.0,955.0,979.0,945.0,911.0,925.0,591.0,381.0,0
Homophobie,1.0,2.0,25.0,19.0,4.0,10.0,7.0,15.0,40.0,45.0,15.0,43.0,25.0,33.0,35.0,62.0,78.0,101.0,85.0,96.0,131.0,109.0,83.0,55.0,19.0,0
Liebe,75.0,49.0,71.0,66.0,51.0,38.0,69.0,120.0,151.0,122.0,120.0,158.0,147.0,285.0,320.0,576.0,571.0,808.0,839.0,1020.0,1155.0,1227.0,1250.0,802.0,483.0,0
Rassismus,5.0,9.0,39.0,20.0,3.0,35.0,13.0,8.0,10.0,25.0,5.0,30.0,25.0,28.0,78.0,77.0,84.0,101.0,190.0,152.0,193.0,181.0,240.0,139.0,81.0,0
Trauer,4.0,8.0,12.0,8.0,5.0,6.0,7.0,9.0,10.0,11.0,23.0,25.0,19.0,35.0,32.0,47.0,62.0,87.0,89.0,79.0,93.0,145.0,142.0,87.0,43.0,0
number_of_songs,21.0,21.0,45.0,26.0,23.0,27.0,28.0,44.0,38.0,66.0,58.0,78.0,76.0,114.0,153.0,229.0,278.0,419.0,443.0,521.0,579.0,625.0,587.0,407.0,261.0,0
Antisemitismus_normalized,0.0,0.05,0.02,0.08,0.09,0.0,0.04,0.09,0.03,0.08,0.03,0.01,0.07,0.05,0.04,0.03,0.06,0.06,0.04,0.03,0.07,0.04,0.01,0.03,0.02,0
Behindertenfeindlichkeit_normalized,0.1,0.05,0.33,0.08,0.52,0.11,0.18,0.07,0.32,0.12,0.29,0.28,0.17,0.25,0.12,0.19,0.19,0.13,0.09,0.08,0.04,0.05,0.03,0.05,0.03,0
Frauenfeindlichkeit_normalized,0.81,0.86,3.11,3.38,2.57,8.11,2.07,5.39,2.37,2.7,1.26,2.12,2.96,2.22,1.63,1.78,1.94,1.69,1.85,1.65,1.5,1.45,1.23,1.12,0.82,0
Gewalt_normalized,0.86,1.19,1.67,2.04,1.65,2.63,1.86,3.48,2.84,3.11,1.74,2.86,2.62,2.67,1.7,1.86,2.08,1.93,2.16,1.88,1.63,1.46,1.58,1.45,1.46,0
Homophobie_normalized,0.05,0.1,0.56,0.73,0.17,0.37,0.25,0.34,1.05,0.68,0.26,0.55,0.33,0.29,0.23,0.27,0.28,0.24,0.19,0.18,0.23,0.17,0.14,0.14,0.07,0
Liebe_normalized,3.57,2.33,1.58,2.54,2.22,1.41,2.46,2.73,3.97,1.85,2.07,2.03,1.93,2.5,2.09,2.52,2.05,1.93,1.89,1.96,1.99,1.96,2.13,1.97,1.85,0
Rassismus_normalized,0.24,0.43,0.87,0.77,0.13,1.3,0.46,0.18,0.26,0.38,0.09,0.38,0.33,0.25,0.51,0.34,0.3,0.24,0.43,0.29,0.33,0.29,0.41,0.34,0.31,0
Trauer_normalized,0.19,0.38,0.27,0.31,0.22,0.22,0.25,0.2,0.26,0.17,0.4,0.32,0.25,0.31,0.21,0.21,0.22,0.21,0.2,0.15,0.16,0.23,0.24,0.21,0.16,0
